2024-12-04 11:42:18,183 INFO    MainThread:4263 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-12-04 11:42:18,185 INFO    MainThread:4263 [wandb_init.py:init():686] backend started and connected
2024-12-04 11:42:18,192 INFO    MainThread:4263 [wandb_run.py:_label_probe_notebook():1339] probe notebook
2024-12-04 11:42:18,193 INFO    MainThread:4263 [wandb_init.py:init():781] updated telemetry
2024-12-04 11:42:18,235 INFO    MainThread:4263 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-12-04 11:42:18,885 INFO    MainThread:4263 [wandb_init.py:init():867] starting run threads in backend
2024-12-04 11:42:18,952 INFO    MainThread:4263 [wandb_run.py:_console_start():2456] atexit reg
2024-12-04 11:42:18,952 INFO    MainThread:4263 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-12-04 11:42:18,952 INFO    MainThread:4263 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-12-04 11:42:18,952 INFO    MainThread:4263 [wandb_run.py:_redirect():2395] Redirects installed.
2024-12-04 11:42:18,953 INFO    MainThread:4263 [wandb_init.py:init():911] run started, returning control to user process
2024-12-04 11:42:20,767 INFO    MainThread:4263 [wandb_run.py:_tensorboard_callback():1544] tensorboard callback: ./ppo_cdpr4_tensorboard/PPO_3, True
2024-12-04 11:42:20,770 INFO    MainThread:4263 [wandb_run.py:_config_callback():1387] config_cb None None {'algo': 'PPO', 'policy_class': "<class 'stable_baselines3.common.policies.ActorCriticPolicy'>", 'device': 'cpu', 'verbose': 1, 'policy_kwargs': "{'log_std_init': -2.0, 'ortho_init': False, 'activation_fn': <class 'torch.nn.modules.activation.ReLU'>, 'net_arch': {'pi': [512, 512], 'vf': [512, 512]}}", 'num_timesteps': 0, '_total_timesteps': 1000000, '_num_timesteps_at_start': 0, 'seed': 'None', 'action_noise': 'None', 'start_time': 1733301740766650000, 'learning_rate': '<function cosine_schedule_with_warmup.<locals>.func at 0x16134f3a0>', 'tensorboard_log': './ppo_cdpr4_tensorboard/', '_last_obs': '[[-0.50677156 -0.02120624  1.3373101   0.          0.          0.\n  -1.0631243   0.9593155   1.5913798 ]\n [-0.7400218   0.01200602  2.7160392   0.          0.          0.\n  -0.15698844 -0.9579983   1.2762187 ]\n [ 0.7772508   0.76180804  2.4577127   0.          0.          0.\n   0.47777808 -0.21197511  0.0456361 ]\n [ 0.9969879  -0.65536845  0.7208437   0.          0.          0.\n  -0.47362638 -1.2262926   0.4470839 ]]', '_last_episode_starts': '[ True  True  True  True]', '_last_original_obs': 'None', '_episode_num': 0, 'use_sde': 'False', 'sde_sample_freq': -1, '_current_progress_remaining': 1.0, '_stats_window_size': 100, 'ep_info_buffer': 'deque([], maxlen=100)', 'ep_success_buffer': 'deque([], maxlen=100)', '_n_updates': 0, '_custom_logger': 'False', 'env': '<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x161709310>', '_vec_normalize_env': 'None', 'observation_space': 'Box([-1.004 -1.254  0.15  -2.    -2.    -2.    -1.154 -1.404  0.   ], [1.004 1.254 3.07  2.    2.    2.    1.154 1.404 3.22 ], (9,), float32)', 'action_space': 'MultiDiscrete([11 11 11 11])', 'n_envs': 4, 'n_steps': 32, 'gamma': 0.99, 'gae_lambda': 0.95, 'ent_coef': 0.0005, 'vf_coef': 0.5, 'max_grad_norm': 100.0, 'rollout_buffer_class': "<class 'stable_baselines3.common.buffers.RolloutBuffer'>", 'rollout_buffer_kwargs': '{}', 'batch_size': 32, 'n_epochs': 5, 'clip_range': '<function get_schedule_fn.<locals>.<lambda> at 0x1640934c0>', 'clip_range_vf': 'None', 'normalize_advantage': 'True', 'target_kl': 'None', 'lr_schedule': '<function get_schedule_fn.<locals>.<lambda> at 0x16172a4c0>', 'rollout_buffer': '<stable_baselines3.common.buffers.RolloutBuffer object at 0x161668430>', 'policy': 'ActorCriticPolicy(\n  (features_extractor): FlattenExtractor(\n    (flatten): Flatten(start_dim=1, end_dim=-1)\n  )\n  (pi_features_extractor): FlattenExtractor(\n    (flatten): Flatten(start_dim=1, end_dim=-1)\n  )\n  (vf_features_extractor): FlattenExtractor(\n    (flatten): Flatten(start_dim=1, end_dim=-1)\n  )\n  (mlp_extractor): MlpExtractor(\n    (policy_net): Sequential(\n      (0): Linear(in_features=9, out_features=512, bias=True)\n      (1): ReLU()\n      (2): Linear(in_features=512, out_features=512, bias=True)\n      (3): ReLU()\n    )\n    (value_net): Sequential(\n      (0): Linear(in_features=9, out_features=512, bias=True)\n      (1): ReLU()\n      (2): Linear(in_features=512, out_features=512, bias=True)\n      (3): ReLU()\n    )\n  )\n  (action_net): Linear(in_features=512, out_features=44, bias=True)\n  (value_net): Linear(in_features=512, out_features=1, bias=True)\n)', '_logger': '<stable_baselines3.common.logger.Logger object at 0x1616efd00>'}
2024-12-04 12:07:11,840 INFO    MainThread:4263 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-12-04 12:07:11,841 INFO    MainThread:4263 [wandb_init.py:_pause_backend():444] pausing backend
